date,time,6908
03/11/2022,01:44:30,-1
03/11/2022,01:45:00,64
03/11/2022,01:45:30,-1
03/11/2022,01:46:00,65
03/11/2022,01:46:30,-1
03/11/2022,01:47:00,64
03/11/2022,01:47:30,-1
03/11/2022,01:48:00,-1
03/11/2022,01:48:30,71
03/11/2022,01:49:00,61
03/11/2022,01:49:30,-1
03/11/2022,01:50:00,71
03/11/2022,01:50:30,63
03/11/2022,01:51:00,-1
03/11/2022,01:51:30,-1
03/11/2022,01:52:00,63
03/11/2022,01:52:30,-1
03/11/2022,01:53:00,61
03/11/2022,01:53:30,56
03/11/2022,01:54:00,65
03/11/2022,01:54:30,-1
03/11/2022,01:55:00,-1
03/11/2022,01:55:30,-1
03/11/2022,01:56:00,63
03/11/2022,01:56:30,-1
03/11/2022,01:57:00,-1
03/11/2022,01:57:30,67
03/11/2022,01:58:00,-1
03/11/2022,01:58:30,62
03/11/2022,01:59:00,-1
03/11/2022,01:59:30,-1
03/11/2022,02:00:00,68
03/11/2022,02:00:30,65
03/11/2022,02:01:00,66
03/11/2022,02:01:30,66
03/11/2022,02:02:00,-1
03/11/2022,02:02:30,-1
03/11/2022,02:03:00,71
03/11/2022,02:03:30,-1
03/11/2022,02:04:00,-1
03/11/2022,02:04:30,-1
03/11/2022,02:05:00,-1
03/11/2022,02:05:30,57
03/11/2022,02:06:00,63
03/11/2022,02:06:30,66
03/11/2022,02:07:00,61
03/11/2022,02:07:30,-1
03/11/2022,02:08:00,69
03/11/2022,02:08:30,58
03/11/2022,02:09:00,-1
03/11/2022,02:09:30,63
03/11/2022,02:10:00,-1
03/11/2022,02:10:30,66
03/11/2022,02:11:00,67
03/11/2022,02:11:30,69
03/11/2022,02:12:00,66
03/11/2022,02:12:30,72
03/11/2022,02:13:00,-1
03/11/2022,02:13:30,-1
03/11/2022,02:14:00,59
03/11/2022,02:14:30,-1
03/11/2022,02:15:00,70
03/11/2022,02:15:30,68
03/11/2022,02:16:00,65
03/11/2022,02:16:30,-1
03/11/2022,02:17:00,68
